S.D.,Counts,seed,tournament_type
2.2,8,16,norm_mdr_sd_max
2.3,6,16,norm_mdr_sd_max
2.4,2,16,norm_mdr_sd_max
2.5,1,16,norm_mdr_sd_max
2.6,0,16,norm_mdr_sd_max
2.7,0,16,norm_mdr_sd_max
2.8,0,16,norm_mdr_sd_max
2.9,0,16,norm_mdr_sd_max
3,0,16,norm_mdr_sd_max
0.5,249,256,norm_mdr_sd_max
0.6,235,256,norm_mdr_sd_max
0.7,214,256,norm_mdr_sd_max
0.8,217,256,norm_mdr_sd_max
0.9,196,256,norm_mdr_sd_max
1,182,256,norm_mdr_sd_max
1.1,175,256,norm_mdr_sd_max
1.2,141,256,norm_mdr_sd_max
1.3,121,256,norm_mdr_sd_max
1.4,109,256,norm_mdr_sd_max
1.5,119,256,norm_mdr_sd_max
1.6,110,256,norm_mdr_sd_max
1.7,90,256,norm_mdr_sd_max
1.8,68,256,norm_mdr_sd_max
1.9,53,256,norm_mdr_sd_max
2,38,256,norm_mdr_sd_max
2.1,18,256,norm_mdr_sd_max
2.2,13,256,norm_mdr_sd_max
2.3,4,256,norm_mdr_sd_max
2.4,1,256,norm_mdr_sd_max
2.5,1,256,norm_mdr_sd_max
2.6,0,256,norm_mdr_sd_max
2.7,0,256,norm_mdr_sd_max
2.8,0,256,norm_mdr_sd_max
2.9,0,256,norm_mdr_sd_max
3,0,256,norm_mdr_sd_max
0.5,253,2,norm_mdr_sd_max
0.6,261,2,norm_mdr_sd_max
0.7,245,2,norm_mdr_sd_max
0.8,247,2,norm_mdr_sd_max
0.9,221,2,norm_mdr_sd_max
1,203,2,norm_mdr_sd_max
1.1,209,2,norm_mdr_sd_max
1.2,160,2,norm_mdr_sd_max
1.3,143,2,norm_mdr_sd_max
1.4,126,2,norm_mdr_sd_max
1.5,119,2,norm_mdr_sd_max
1.6,99,2,norm_mdr_sd_max
1.7,81,2,norm_mdr_sd_max
1.8,50,2,norm_mdr_sd_max
1.9,47,2,norm_mdr_sd_max
2,36,2,norm_mdr_sd_max
2.1,20,2,norm_mdr_sd_max
2.2,12,2,norm_mdr_sd_max
2.3,7,2,norm_mdr_sd_max
2.4,4,2,norm_mdr_sd_max
2.5,2,2,norm_mdr_sd_max
2.6,4,2,norm_mdr_sd_max
2.7,2,2,norm_mdr_sd_max
2.8,2,2,norm_mdr_sd_max
2.9,0,2,norm_mdr_sd_max
3,0,2,norm_mdr_sd_max
0.5,265,32,norm_mdr_sd_max
0.6,231,32,norm_mdr_sd_max
0.7,224,32,norm_mdr_sd_max
0.8,207,32,norm_mdr_sd_max
0.9,210,32,norm_mdr_sd_max
1,185,32,norm_mdr_sd_max
1.1,161,32,norm_mdr_sd_max
1.2,154,32,norm_mdr_sd_max
1.3,131,32,norm_mdr_sd_max
1.4,127,32,norm_mdr_sd_max
1.5,109,32,norm_mdr_sd_max
1.6,82,32,norm_mdr_sd_max
1.7,68,32,norm_mdr_sd_max
1.8,59,32,norm_mdr_sd_max
1.9,50,32,norm_mdr_sd_max
2,36,32,norm_mdr_sd_max
2.1,36,32,norm_mdr_sd_max
2.2,25,32,norm_mdr_sd_max
2.3,20,32,norm_mdr_sd_max
2.4,13,32,norm_mdr_sd_max
2.5,7,32,norm_mdr_sd_max
2.6,6,32,norm_mdr_sd_max
2.7,3,32,norm_mdr_sd_max
2.8,3,32,norm_mdr_sd_max
2.9,2,32,norm_mdr_sd_max
3,0,32,norm_mdr_sd_max
0.5,248,4,norm_mdr_sd_max
0.6,242,4,norm_mdr_sd_max
0.7,261,4,norm_mdr_sd_max
0.8,225,4,norm_mdr_sd_max
0.9,194,4,norm_mdr_sd_max
1,172,4,norm_mdr_sd_max
1.1,145,4,norm_mdr_sd_max
1.2,139,4,norm_mdr_sd_max
1.3,150,4,norm_mdr_sd_max
1.4,138,4,norm_mdr_sd_max
1.5,111,4,norm_mdr_sd_max
1.6,90,4,norm_mdr_sd_max
1.7,75,4,norm_mdr_sd_max
1.8,51,4,norm_mdr_sd_max
1.9,28,4,norm_mdr_sd_max
2,31,4,norm_mdr_sd_max
2.1,30,4,norm_mdr_sd_max
2.2,19,4,norm_mdr_sd_max
2.3,11,4,norm_mdr_sd_max
2.4,7,4,norm_mdr_sd_max
2.5,4,4,norm_mdr_sd_max
2.6,5,4,norm_mdr_sd_max
2.7,2,4,norm_mdr_sd_max
2.8,1,4,norm_mdr_sd_max
2.9,0,4,norm_mdr_sd_max
3,0,4,norm_mdr_sd_max
0.5,249,512,norm_mdr_sd_max
0.6,232,512,norm_mdr_sd_max
0.7,230,512,norm_mdr_sd_max
0.8,208,512,norm_mdr_sd_max
0.9,199,512,norm_mdr_sd_max
1,192,512,norm_mdr_sd_max
1.1,171,512,norm_mdr_sd_max
1.2,175,512,norm_mdr_sd_max
1.3,162,512,norm_mdr_sd_max
1.4,136,512,norm_mdr_sd_max
1.5,99,512,norm_mdr_sd_max
1.6,91,512,norm_mdr_sd_max
1.7,76,512,norm_mdr_sd_max
1.8,74,512,norm_mdr_sd_max
1.9,45,512,norm_mdr_sd_max
2,29,512,norm_mdr_sd_max
2.1,21,512,norm_mdr_sd_max
2.2,12,512,norm_mdr_sd_max
2.3,7,512,norm_mdr_sd_max
2.4,5,512,norm_mdr_sd_max
2.5,4,512,norm_mdr_sd_max
2.6,2,512,norm_mdr_sd_max
2.7,4,512,norm_mdr_sd_max
2.8,3,512,norm_mdr_sd_max
